accession,assembly_stats_contig_l50,assembly_stats_contig_n50,assembly_stats_gc_count,assembly_stats_gc_percent,assembly_stats_genome_coverage,assembly_stats_number_of_component_sequences,assembly_stats_number_of_contigs,assembly_stats_number_of_scaffolds,assembly_stats_scaffold_l50,assembly_stats_scaffold_n50,assembly_stats_total_number_of_chromosomes,assembly_stats_total_sequence_length,assembly_stats_total_ungapped_length,organism_common_name,organism_infraspecific_names_isolate,organism_infraspecific_names_strain,organism_organism_name,organism_tax_id
GCF_025259525.1,1,4821578,2704974,52,46,3,3,3,1,4821578,3,5207250,5207250,,,PNUSAS048232,Salmonella enterica,28901
GCF_025310955.1,1,4919686,2581120,52,81,3,3,3,1,4919686,3,4966490,4966490,,,SalSpp_sample_09_No.5,Salmonella enterica,28901
GCF_025311075.1,1,4796592,2506455,52,35,2,2,2,1,4796592,2,4799874,4799874,,,SalSpp_sample_08_No.4,Salmonella enterica,28901
GCF_025311235.1,1,4969564,2672030,52,44,4,4,4,1,4969564,4,5125631,5125631,,,SalSpp_sample_07_No.3,Salmonella enterica,28901
GCF_025311295.1,1,4806677,2530576,52,45,3,3,3,1,4806677,3,4854412,4854412,,,SalSpp_sample_10_No.2,Salmonella enterica,28901
GCF_025311435.1,1,4964371,2599298,52,44,3,3,3,1,4964371,3,4977168,4977168,,,SalSpp_sample_05_No.1,Salmonella enterica,28901
GCF_025398995.1,1,4774206,2494254,52,153,1,1,1,1,4774206,1,4774206,4774206,,,PNUSAS036471,Salmonella enterica,28901
GCF_025399015.1,1,4825930,2602843,52,43,2,2,2,1,4825930,2,4984137,4984137,,,PNUSAS118466,Salmonella enterica,28901
GCF_025399055.1,1,4719041,2491201,52,613,2,2,2,1,4719041,2,4778614,4778614,,,1019942,Salmonella enterica,28901
GCF_025399075.1,1,4719009,2491007,52,492,2,2,2,1,4719009,2,4778338,4778338,,,1020677,Salmonella enterica,28901
GCF_025808235.1,1,4681459,2499726,52,100,2,2,2,1,4681459,2,4791732,4791732,,,190821_1,Salmonella enterica,28901
GCF_025808255.1,1,4678918,2498776,52,100,2,2,2,1,4678918,2,4789191,4789191,,,190819_2,Salmonella enterica,28901
GCF_025808275.1,1,4683147,2500342,52,100,2,2,2,1,4683147,2,4792592,4792592,,,190807_1,Salmonella enterica,28901
GCF_025808295.1,1,4681475,2499741,52,100,2,2,2,1,4681475,2,4791748,4791748,,,190729_8,Salmonella enterica,28901
GCF_025808315.1,1,4681460,2499728,52,100,2,2,2,1,4681460,2,4791733,4791733,,,190729_4,Salmonella enterica,28901
GCF_025808335.1,1,4681486,2499733,52,100,2,2,2,1,4681486,2,4791759,4791759,,,190704_2,Salmonella enterica,28901
GCF_025808355.1,1,4680702,2499324,52,100,2,2,2,1,4680702,2,4790975,4790975,,,190610_1,Salmonella enterica,28901
GCF_025999715.1,1,4720010,2665016,52,187,13,13,13,1,4720010,13,5146518,5146518,,,SE20-72C-2,Salmonella enterica,28901
GCF_026248385.1,1,4749611,2564607,52,725,3,3,3,1,4749611,3,4918150,4918150,,,XM3104,Salmonella enterica,28901
GCF_026248545.1,1,4749670,2504353,52,511,2,2,2,1,4749670,2,4799214,4799214,,,CVCC 519,Salmonella enterica,28901
GCF_026801915.1,1,4709424,2463614,52.5,246,1,1,1,1,4709424,1,4709424,4709424,,,ZYX,Salmonella enterica,28901
GCF_026801935.1,1,4972313,2594455,52,204,1,1,1,1,4972313,1,4972313,4972313,,,ZLQ,Salmonella enterica,28901
GCF_026801955.1,1,4855728,2534701,52,224,1,1,1,1,4855728,1,4855728,4855728,,,ZCX,Salmonella enterica,28901
GCF_026801975.1,1,4677491,2443083,52,248,1,1,1,1,4677491,1,4677491,4677491,,,YZY,Salmonella enterica,28901
GCF_026801995.1,1,4850957,2529581,52,282,1,1,1,1,4850957,1,4850957,4850957,,,XSK,Salmonella enterica,28901
GCF_026802015.1,1,4722848,2466731,52,232,1,1,1,1,4722848,1,4722848,4722848,,,FFL,Salmonella enterica,28901
GCF_026802035.1,1,4714057,2459121,52,224,1,1,1,1,4714057,1,4714057,4714057,,,CYX,Salmonella enterica,28901
GCF_026802055.1,1,4844220,2525343,52,235,1,1,1,1,4844220,1,4844220,4844220,,,CHC,Salmonella enterica,28901
GCF_026873305.1,1,4685132,2571403,52,100,3,3,3,1,4685132,3,4944965,4944965,,,1902,Salmonella enterica,28901
GCF_026873325.1,1,4690407,2561228,52,100,4,4,4,1,4690407,4,4926562,4926562,,,1810,Salmonella enterica,28901
GCF_026873345.1,1,4682504,2453607,52,100,4,4,4,1,4682504,4,4696484,4696484,,,1795,Salmonella enterica,28901
GCF_026873365.1,1,4690396,2575109,52,100,4,4,4,1,4690396,4,4953107,4953107,,,1653,Salmonella enterica,28901
GCF_026873385.1,1,4647432,2508877,52,100,3,3,3,1,4647432,3,4823296,4823296,,,1473,Salmonella enterica,28901
GCF_026873405.1,1,4659429,2436416,52,100,2,2,2,1,4659429,2,4663696,4663696,,,1419,Salmonella enterica,28901
GCF_026873425.1,1,4690363,2452745,52,100,2,2,2,1,4690363,2,4694630,4694630,,,1382,Salmonella enterica,28901
GCF_026873445.1,1,4651635,2555194,52,100,4,4,4,1,4651635,4,4914347,4914347,,,1165,Salmonella enterica,28901
GCF_026873465.1,1,4687750,2573714,52,100,4,4,4,1,4687750,4,4950462,4950462,,,1147,Salmonella enterica,28901
GCF_026873485.1,1,4682466,2448577,52,100,2,2,2,1,4682466,2,4686733,4686733,,,1116,Salmonella enterica,28901
GCF_026873505.1,1,4645566,2586746,52,100,4,4,4,1,4645566,4,4986976,4986976,,,1063,Salmonella enterica,28901
GCF_026873525.1,1,4645539,2560469,52,100,3,3,3,1,4645539,3,4925254,4925254,,,965,Salmonella enterica,28901
GCF_027943645.1,1,4867732,2589677,52,138,2,2,2,1,4867732,2,4959983,4959983,,,SEOhiM1593,Salmonella enterica,28901
GCF_028551175.1,1,4998257,2786240,52,300,5,5,5,1,4998257,5,5375002,5375002,,,PIW95_S14_0299,Salmonella enterica,28901
GCF_028743635.1,1,4758000,2517534,52,1,3,3,3,1,4758000,3,4824135,4824135,,,B-4212,Salmonella enterica,28901
GCF_029537315.1,1,5035375,2641737,52,100,3,3,3,1,5035375,3,5089659,5089659,,,SC2020597,Salmonella enterica,28901
GCF_029590355.1,1,4679678,2485943,52,267,3,3,3,1,4679678,3,4768488,4768488,,,31A,Salmonella enterica,28901
GCF_029692005.1,1,4727145,2618742,52,100,2,2,2,1,4727145,2,5021166,5021166,,,CRIN525628,Salmonella enterica,28901
GCF_029692025.1,1,4727145,2628480,52,100,2,2,2,1,4727145,2,5039316,5039316,,,CRIN541822,Salmonella enterica,28901
GCF_029692065.1,1,4727145,2630289,52,100,2,2,2,1,4727145,2,5042634,5042634,,,CRIN508879,Salmonella enterica,28901
GCF_029692105.1,1,4727145,2628470,52,100,2,2,2,1,4727145,2,5039309,5039309,,,CRIN514780,Salmonella enterica,28901
GCF_029814235.1,1,4679690,2477893,52,267,3,3,3,1,4679690,3,4748869,4748869,,,27A,Salmonella enterica,28901
GCF_029953555.1,1,4685979,2479871,52,20,4,4,4,1,4685979,4,4754569,4754569,,,PNUSAS118467,Salmonella enterica,28901
GCF_030436365.1,1,4806952,2503523,52,590,1,1,1,1,4806952,1,4806952,4806952,,,BC01,Salmonella enterica,28901
GCF_030931095.1,1,4942113,2719099,52,366,3,3,3,1,4942113,3,5238085,5238085,,,AJM4,Salmonella enterica,28901
GCF_030931115.1,1,4984842,2686468,52,242,2,2,2,1,4984842,2,5169155,5169155,,,ZZC1,Salmonella enterica,28901
GCF_030979995.1,1,4758936,2509076,52,86,2,2,2,1,4758936,2,4808484,4808484,,,TC-177,Salmonella enterica,28901
GCF_031197025.1,1,4908742,2692466,52,323,3,3,3,1,4908742,3,5191752,5191752,,,94,Salmonella enterica,28901
GCF_031198825.1,1,4679222,2496861,52,137,3,3,3,1,4679222,3,4786230,4786230,,,CFIAFB20140150,Salmonella enterica,28901
GCF_032681265.1,1,4891794,2602235,52,45.02,2,2,2,1,4891794,2,4985718,4985718,,,JE4313,Salmonella enterica,28901
GCF_032700165.1,1,4783748,2595432,52,80,2,2,2,1,4783748,2,5000736,5000736,,,QT6365,Salmonella enterica,28901
GCF_033403855.1,1,4857518,2586518,52,45.85,2,2,2,1,4857518,2,4951428,4951428,,FELIX_MS734,,Salmonella enterica,28901
GCF_034259065.1,1,4754462,2484283,52.5,863,1,1,1,1,4754462,1,4754462,4754462,,,FB23,Salmonella enterica,28901
GCF_034259085.1,1,4837757,2521071,52,725,1,1,1,1,4837757,1,4837757,4837757,,,XB08,Salmonella enterica,28901
GCF_034377425.1,1,4857968,2586783,52,42.06,2,2,2,1,4857968,2,4951892,4951892,,,FELIX_MS205,Salmonella enterica,28901
GCF_035592515.1,1,4829444,2520060,52,100,1,1,1,1,4829444,1,4829444,4829444,,,TY1512,Salmonella enterica,28901
GCF_035658395.1,1,4963575,2590250,52,826,1,1,1,1,4963575,1,4963575,4963575,,,TY27,Salmonella enterica,28901
GCF_037055435.1,1,4741987,2500220,52,204,2,2,2,1,4741987,2,4791586,4791586,,,S151,Salmonella enterica,28901
GCF_038096135.1,1,4987713,2687007,52,1727,2,2,2,1,4987713,2,5173022,5173022,,,ST.GS36,Salmonella enterica,28901
GCF_038396425.1,1,4679872,2508471,52,274,3,3,3,1,4679872,3,4807750,4807750,,,21A,Salmonella enterica,28901
GCF_038396435.1,1,4686594,2482635,52,272,2,2,2,1,4686594,2,4761086,4761086,,,33A,Salmonella enterica,28901
GCF_038396445.1,1,4682650,2488196,52,254,3,3,3,1,4682650,3,4774777,4774777,,,38A,Salmonella enterica,28901
GCF_038396455.1,1,4679994,2517771,52,271,4,4,4,1,4679994,4,4827278,4827278,,,44A,Salmonella enterica,28901
GCF_038396465.1,1,4679962,2472704,52,252,2,2,2,1,4679962,2,4739334,4739334,,,48A,Salmonella enterica,28901
GCF_040048365.1,1,4659977,2480676,52,496.42,3,3,3,1,4659977,3,4749814,4749814,,,IJES3-1,Salmonella enterica,28901
GCF_041866285.1,1,4700868,2455820,52,205,1,1,1,1,4700868,1,4700868,4700868,,,SA45,Salmonella enterica,28901
GCF_041866875.1,1,5006913,2606855,52,104,1,1,1,1,5006913,1,5006913,5006913,,,SA136,Salmonella enterica,28901
GCF_041867465.1,1,4541070,2367055,52,82,1,1,1,1,4541070,1,4541070,4541070,,,SA114,Salmonella enterica,28901
GCF_041868035.1,1,4916122,2560883,52,80,1,1,1,1,4916122,1,4916122,4916122,,,SA143,Salmonella enterica,28901
GCF_041868605.1,1,4825106,2515861,52,29,1,1,1,1,4825106,1,4825106,4825106,,,SA92,Salmonella enterica,28901
GCF_041927295.1,1,5034812,2630867,52,92,3,3,3,1,5034812,3,5042332,5042332,,,SA165,Salmonella enterica,28901
GCF_041927305.1,1,4973024,2593946,52,80,4,4,4,1,4973024,4,4986917,4986917,,,SA158,Salmonella enterica,28901
GCF_041927315.1,1,4930408,2570166,52,116,2,2,2,1,4930408,2,4935065,4935065,,,SA67,Salmonella enterica,28901
GCF_041927325.1,1,4702218,2458031,52,97,2,2,2,1,4702218,2,4706991,4706991,,,SA50,Salmonella enterica,28901
GCF_041928935.1,1,4775343,2504671,52,89,2,2,2,1,4775343,2,4809795,4809795,,,SA89,Salmonella enterica,28901
GCF_041930285.1,1,4799099,2516323,52,104,2,2,2,1,4799099,2,4832814,4832814,,,SA74,Salmonella enterica,28901
GCF_041930295.1,1,4916686,2564193,52,96,2,2,2,1,4916686,2,4921343,4921343,,,SA153,Salmonella enterica,28901
GCF_041930305.1,1,4973482,2592281,52,98,3,3,3,1,4973482,3,4979200,4979200,,,SA99,Salmonella enterica,28901
GCF_041930315.1,1,4999447,2604145,52,97,2,2,2,1,4999447,2,5004104,5004104,,,SA135,Salmonella enterica,28901
GCF_041930325.1,1,4918904,2567250,52,73,3,3,3,1,4918904,3,4927391,4927391,,,SA110,Salmonella enterica,28901
GCF_041930335.1,1,4981300,2618187,52,57,2,2,2,1,4981300,2,5020801,5020801,,,SA157,Salmonella enterica,28901
GCF_041930345.1,1,5026429,2619016,52,90,2,2,2,1,5026429,2,5031086,5031086,,,SA40,Salmonella enterica,28901
GCF_041930355.1,1,4652689,2483575,52,83,2,2,2,1,4652689,2,4764538,4764538,,,SA85,Salmonella enterica,28901
GCF_041930365.1,1,3216946,2669012,52,24,6,6,6,1,3216946,6,5119184,5119184,,,SA88,Salmonella enterica,28901
GCF_041935645.1,1,4699161,2472750,52,156,2,2,2,1,4699161,2,4743673,4743673,,,2107512094C,Salmonella enterica,28901
GCF_045278205.1,1,5019577,2706643,52,494,2,2,2,1,5019577,2,5187390,5187390,,,SA746,Salmonella enterica,28901
GCF_045287905.1,1,4752118,2505664,52,2915,2,2,2,1,4752118,2,4801704,4801704,,,ETS 34,Salmonella enterica,28901
GCF_045347675.1,1,4759972,2527790,52,50,2,2,2,1,4759972,2,4845385,4845385,,,2024CK-1945744,Salmonella enterica,28901
GCF_045347765.1,1,4760137,2528115,52,50,2,2,2,1,4760137,2,4846062,4846062,,,2024CK-1945753,Salmonella enterica,28901
GCF_047980805.2,1,4727598,2629571,52,100,3,3,3,1,4727598,3,5041778,5041778,,,SCD6R1a,Salmonella enterica,28901
GCF_048750985.1,1,4969989,2698396,52,20,2,2,2,1,4969989,2,5204468,5204468,,,Sal25,Salmonella enterica,28901
GCF_048914415.1,1,4739519,2521932,52,259,2,2,2,1,4739519,2,4833306,4833306,,,NM2025-L7,Salmonella enterica,28901
GCF_049264755.1,1,4679986,2490833,52,261,4,4,4,1,4679986,4,4777722,4777722,,,NM2025-L1,Salmonella enterica,28901
GCF_049544835.1,1,5015197,2753116,52,362,4,4,4,1,5015197,4,5308703,5308703,,,2275,Salmonella enterica,28901
GCF_050217165.1,1,4792180,2567972,52,82,4,4,4,1,4792180,4,4934733,4934733,,,CFIAFB20130200,Salmonella enterica,28901
GCF_050516495.1,1,5227724,2892393,52.5,1,2,2,2,1,5227724,2,5527159,5527159,,,OP32,Salmonella enterica,28901
GCF_900475895.1,1,4787620,2483770,52,100,1,1,1,1,4787620,1,4787620,4787620,,,NCTC10436,Salmonella enterica,28901
GCF_900478435.1,1,4725066,2463037,52,115,1,1,1,1,4725066,1,4725066,4725066,,,NCTC9948,Salmonella enterica,28901
GCA_000783815.2,1,4679420,2497089,52,15.51,3,3,3,1,4679420,3,4786576,4786576,,,FDAARGOS_70,Salmonella enterica,28901
GCA_001558355.2,1,4857490,2586573,52,353.386,2,2,2,1,4857490,2,4951423,4951423,,,LT2,Salmonella enterica,28901
GCA_001647755.1,1,4791723,2597703,52,200,2,2,2,1,4791723,2,5001829,5001829,,,C629,Salmonella enterica,28901
GCA_001652385.2,1,4855022,2569360,52,357,2,2,2,1,4855022,2,4930422,4930422,,,CFSAN033950,Salmonella enterica,28901
GCA_001705055.1,1,4680751,2503111,52,483.38,2,2,2,1,4680751,2,4797690,4797690,,,FORC_019,Salmonella enterica,28901
GCA_001831555.2,1,5084052,2616726,51.5,196,1,1,1,1,5084052,1,5084052,5084052,,,CFSAN044865,Salmonella enterica,28901
GCA_001831715.2,1,4881088,2606077,52,166,2,2,2,1,4881088,2,5004869,5004869,,,CFSAN044875,Salmonella enterica,28901
GCA_001831915.2,1,4879725,2542778,52,320,1,1,1,1,4879725,1,4879725,4879725,,,CFSAN044885,Salmonella enterica,28901
GCA_001831985.2,1,4866315,2553366,52,188,2,2,2,1,4866315,2,4892473,4892473,,,CFSAN044888,Salmonella enterica,28901
GCA_001833305.2,1,4754349,2482854,52,205,1,1,1,1,4754349,1,4754349,4754349,,,CFSAN044925,Salmonella enterica,28901
GCA_001834965.2,1,4872383,2613097,52,170,2,2,2,1,4872383,2,5008883,5008883,,,CFSAN044945,Salmonella enterica,28901
GCA_002079245.1,1,4943477,2626636,52,119,2,2,2,1,4943477,2,5037523,5037523,,,FORC_030,Salmonella enterica,28901
GCA_002119485.1,1,4938076,2563662,52,498.01,1,1,1,1,4938076,1,4938076,4938076,,,FORC_038,Salmonella enterica,28901
GCA_002313085.1,1,4679637,2489488,52,134.36,2,2,2,1,4679637,2,4776636,4776636,,,FORC_051,Salmonella enterica,28901
GCA_002313105.1,1,4686230,2475521,52,224.62,2,2,2,1,4686230,2,4745601,4745601,,,FORC_056,Salmonella enterica,28901
GCA_002507715.2,1,4806207,2505727,52,277,1,1,1,1,4806207,1,4806207,4806207,,,CFSAN064276,Salmonella enterica,28901
GCA_002507745.2,1,4660570,2438286,52.5,214,1,1,1,1,4660570,1,4660570,4660570,,,CFSAN060808,Salmonella enterica,28901
GCA_002507865.2,1,4484627,2348091,52.5,228,1,1,1,1,4484627,1,4484627,4484627,,,CFSAN060809,Salmonella enterica,28901
GCA_002507875.2,1,4753965,2482172,52,338,1,1,1,1,4753965,1,4753965,4753965,,,CFSAN060807,Salmonella enterica,28901
GCA_002507915.2,1,4800918,2557016,52,239,2,2,2,1,4800918,2,4902428,4902428,,,CFSAN060804,Salmonella enterica,28901
GCA_002900325.1,1,4742945,2477924,52,239,1,1,1,1,4742945,1,4742945,4742945,,,MFDS1004024,Salmonella enterica,28901
GCA_002946675.1,1,4679649,2489487,52,161.32,2,2,2,1,4679649,2,4776643,4776643,,,MFDS1004839,Salmonella enterica,28901
GCA_003030105.1,1,4941290,2666409,52,314,3,3,3,1,4941290,3,5123279,5123279,,,CFSAN064034,Salmonella enterica,28901
GCA_003030125.1,1,4636770,2467487,52,425,4,4,4,1,4636770,4,4726557,4726557,,,CFSAN064033,Salmonella enterica,28901
GCA_003324915.1,1,4772343,2640151,52,95,4,4,4,1,4772343,4,5093270,5093270,,,SA20030575,Salmonella enterica,28901
GCA_003324935.1,1,4763586,2488898,52,57,1,1,1,1,4763586,1,4763586,4763586,,,SA20052327,Salmonella enterica,28901
GCA_003324955.1,1,4844554,2564286,52,50,2,2,2,1,4844554,2,4919131,4919131,,,SA19992307,Salmonella enterica,28901
GCA_003324975.1,1,4805225,2550852,52,39,2,2,2,1,4805225,2,4897849,4897849,,,SA20044414,Salmonella enterica,28901
GCA_003324995.1,1,4603878,2455425,52.5,85,2,2,2,1,4603878,2,4691197,4691197,,,SA20043041,Salmonella enterica,28901
GCA_003325015.1,1,4522338,2364858,52.5,73,1,1,1,1,4522338,1,4522338,4522338,,,SA20031245,Salmonella enterica,28901
GCA_003325035.1,1,5195044,2667096,51.5,50,1,1,1,1,5195044,1,5195044,5195044,,,SA20100201,Salmonella enterica,28901
GCA_003325055.1,1,4854398,2776469,52,45,5,5,5,1,4854398,5,5358955,5358955,,,SA20094620,Salmonella enterica,28901
GCA_003325075.1,1,4813547,2570030,52,41,4,4,4,1,4813547,4,4931794,4931794,,,SA20104250,Salmonella enterica,28901
GCA_003325095.1,1,4869528,2688270,52,41,6,6,6,1,4869528,6,5152021,5152021,,,SA20051401,Salmonella enterica,28901
GCA_003325115.1,1,4651373,2422102,51.5,59,2,2,2,1,4651373,2,4690296,4690296,,,SA20080453,Salmonella enterica,28901
GCA_003325135.1,1,5062813,2732878,52,40,4,4,4,1,5062813,4,5262637,5262637,,,SA20083530,Salmonella enterica,28901
GCA_003325155.1,1,4719399,2471515,52.5,18,3,3,3,1,4719399,3,4725999,4725999,,,SA20051528,Salmonella enterica,28901
GCA_003325195.1,1,4716530,2511168,52,48,2,2,2,1,4716530,2,4813764,4813764,,,SA20075157,Salmonella enterica,28901
GCA_003325215.1,1,5431908,2923816,51.5,40,4,4,4,1,5431908,4,5700547,5700547,,,SA20021456,Salmonella enterica,28901
GCA_003325235.1,1,4688830,2564684,52,45,2,2,2,1,4688830,2,4936076,4936076,,,SA20083039,Salmonella enterica,28901
GCA_003325255.1,1,4739617,2489223,52.5,33,6,6,6,1,4739617,6,4758278,4758278,,,SA20041605,Salmonella enterica,28901
GCA_003325275.1,1,4729786,2517137,52,72,2,2,2,1,4729786,2,4824596,4824596,,,SA20101045,Salmonella enterica,28901
GCA_003325315.1,1,4640729,2399902,51.5,50,1,1,1,1,4640729,1,4640729,4640729,,,SA20055162,Salmonella enterica,28901
GCA_003515965.1,1,4682412,2499118,52,193,3,3,3,1,4682412,3,4795266,4795266,,,FORC_074,Salmonella enterica,28901
GCA_003872215.2,1,5033792,2700903,52,151,2,2,2,1,5033792,2,5183854,5183854,,,CFSAN029939,Salmonella enterica,28901
GCA_003872395.2,1,4680419,2445087,52,166,1,1,1,1,4680419,1,4680419,4680419,,,CFSAN029945,Salmonella enterica,28901
GCA_003872625.2,1,4991210,2602138,52,246,1,1,1,1,4991210,1,4991210,4991210,,,CFSAN029895,Salmonella enterica,28901
GCA_004135835.1,1,4686022,2475363,52,195,2,2,2,1,4686022,2,4745355,4745355,,,FORC_078,Salmonella enterica,28901
GCA_004223785.2,1,4984008,2682915,52,215,3,3,3,1,4984008,3,5159176,5159176,,,CFSAN029871,Salmonella enterica,28901
GCA_004354225.1,1,4611179,2407455,52,165,1,1,1,1,4611179,1,4611179,4611179,,,FDA00009424,Salmonella enterica,28901
GCA_004354285.1,1,4820913,2514270,52,40,1,1,1,1,4820913,1,4820913,4820913,,,FSW0104,Salmonella enterica,28901
GCA_005411755.2,1,5070245,2641919,52,402,1,1,1,1,5070245,1,5070245,5070245,,,CFSAN008785,Salmonella enterica,28901
GCA_005473655.2,1,4678719,2442888,52,85,2,2,2,1,4678719,2,4680815,4680815,,,PNUSAS060563,Salmonella enterica,28901
GCA_005498665.2,1,4683067,2488199,52,76,3,3,3,1,4683067,3,4775722,4775722,,,PNUSAS070846,Salmonella enterica,28901
GCA_005532075.2,1,4709267,2457038,52,164,1,1,1,1,4709267,1,4709267,4709267,,,CFSAN030601,Salmonella enterica,28901
GCA_005532895.2,1,4988850,2662756,52,287,2,2,2,1,4988850,2,5113066,5113066,,,CFSAN029879,Salmonella enterica,28901
GCA_005532935.2,1,5041511,2713051,52,284,3,3,3,1,5041511,3,5202476,5202476,,,CFSAN029872,Salmonella enterica,28901
GCA_005534535.2,1,4943564,2574963,52,232,1,1,1,1,4943564,1,4943564,4943564,,,CFSAN008812,Salmonella enterica,28901
GCA_005540335.2,1,4679854,2482150,52,741,2,2,2,1,4679854,2,4767306,4767306,,,PNUSAS053497,Salmonella enterica,28901
GCA_005576595.1,1,4615193,2413861,52.5,103,1,1,1,1,4615193,1,4615193,4615193,,,CFSAN005645,Salmonella enterica,28901
GCA_005585955.2,1,4763126,2490089,52,88,2,2,2,1,4763126,2,4767759,4767759,,,PNUSAS067730,Salmonella enterica,28901
GCA_005606435.2,1,5051711,2719289,52,172,3,3,3,1,5051711,3,5215467,5215467,,,CFSAN029843,Salmonella enterica,28901
GCA_005606535.2,1,5061743,2637733,52,231,1,1,1,1,5061743,1,5061743,5061743,,,CFSAN029894,Salmonella enterica,28901
GCA_005608035.2,1,4747185,2479009,52,130,1,1,1,1,4747185,1,4747185,4747185,,,CFSAN057220,Salmonella enterica,28901
GCA_005676255.2,1,4516456,2362712,52.5,474,1,1,1,1,4516456,1,4516456,4516456,,,CFSAN024144,Salmonella enterica,28901
GCA_005741405.2,1,4726980,2647371,52,62,3,3,3,1,4726980,3,5082785,5082785,,,PNUSAS070160,Salmonella enterica,28901
GCA_005904905.2,1,4766350,2552131,52,102,3,3,3,1,4766350,3,4887846,4887846,,,PNUSAS074905,Salmonella enterica,28901
GCA_005935865.2,1,4796958,2534911,52,304,2,2,2,1,4796958,2,4871995,4871995,,,CFSAN024219,Salmonella enterica,28901
GCA_005936085.2,1,4664770,2432944,52,316,1,1,1,1,4664770,1,4664770,4664770,,,CFSAN024152,Salmonella enterica,28901
GCA_005946705.2,1,4884048,2552853,52.5,275,1,1,1,1,4884048,1,4884048,4884048,,,CFSAN029868,Salmonella enterica,28901
GCA_005965665.2,1,4685556,2468948,52,102,5,5,5,1,4685556,5,4730499,4730499,,,2016K-0377,Salmonella enterica,28901
GCA_005978645.2,1,4593157,2398155,52,276,1,1,1,1,4593157,1,4593157,4593157,,,CFSAN055400,Salmonella enterica,28901
GCA_005991765.2,1,4997605,2604138,52,254,1,1,1,1,4997605,1,4997605,4997605,,,CFSAN008813,Salmonella enterica,28901
GCA_005996305.2,1,4820861,2518478,52,305,2,2,2,1,4820861,2,4824470,4824470,,,CFSAN057258,Salmonella enterica,28901
GCA_005996325.2,1,4681424,2472526,51.5,256,2,2,2,1,4681424,2,4780872,4780872,,,CFSAN057252,Salmonella enterica,28901
GCA_005996465.2,1,4664544,2462883,51.5,191,2,2,2,1,4664544,2,4765133,4765133,,,CFSAN057226,Salmonella enterica,28901
GCA_005996525.2,1,4773876,2524146,52,280,2,2,2,1,4773876,2,4848895,4848895,,,CFSAN057241,Salmonella enterica,28901
GCA_006016765.2,1,4786558,2499476,52,440,1,1,1,1,4786558,1,4786558,4786558,,,CFSAN029855,Salmonella enterica,28901
GCA_006019175.2,1,4862554,2593844,52,148,2,2,2,1,4862554,2,4969982,4969982,,,CFSAN029958,Salmonella enterica,28901
GCA_006026255.2,1,4583372,2394878,52.5,473,1,1,1,1,4583372,1,4583372,4583372,,,CFSAN038591,Salmonella enterica,28901
GCA_006027055.2,1,4583372,2394879,52.5,83,1,1,1,1,4583372,1,4583372,4583372,,,CFSAN038580,Salmonella enterica,28901
GCA_006051055.2,1,4925620,2555755,52,30,1,1,1,1,4925620,1,4925620,4925620,,,08-0466,Salmonella enterica,28901
GCA_006051135.2,1,4612001,2394233,52,30,1,1,1,1,4612001,1,4612001,4612001,,,68-4603,Salmonella enterica,28901
GCA_006070955.2,1,4685132,2488861,52,102,3,3,3,1,4685132,3,4777769,4777769,,,PNUSAS019263,Salmonella enterica,28901
